[1115/215012.667:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/build/three.js (21172)
[1115/215013.358:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/libs/ColladaLoader.js (3660)
[1115/215013.376:INFO:CONSOLE(255)] "Loaded: file:C:/Users/HP/Documents/8VO SEMESTRE/SIMULACIÓN/Job Shop/3d/truck.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/init.js (255)
[1115/215013.376:INFO:CONSOLE(271)] "load end: file:C:/Users/HP/Documents/8VO SEMESTRE/SIMULACIÓN/Job Shop/3d/truck.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/init.js (271)
[1115/215013.522:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/libs/ColladaLoader.js (3660)
[1115/215013.525:INFO:CONSOLE(255)] "Loaded: file:C:/Users/HP/Documents/8VO SEMESTRE/SIMULACIÓN/Job Shop/3d/pallet.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/init.js (255)
[1115/215013.525:INFO:CONSOLE(271)] "load end: file:C:/Users/HP/Documents/8VO SEMESTRE/SIMULACIÓN/Job Shop/3d/pallet.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/init.js (271)
[1115/215013.553:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/libs/ColladaLoader.js (3660)
[1115/215013.556:INFO:CONSOLE(255)] "Loaded: file:C:/Users/HP/Documents/8VO SEMESTRE/SIMULACIÓN/Job Shop/3d/box_1_closed.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/init.js (255)
[1115/215013.558:INFO:CONSOLE(271)] "load end: file:C:/Users/HP/Documents/8VO SEMESTRE/SIMULACIÓN/Job Shop/3d/box_1_closed.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/init.js (271)
[1115/215013.617:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/libs/ColladaLoader.js (3660)
[1115/215013.622:INFO:CONSOLE(255)] "Loaded: file:C:/Users/HP/Documents/8VO SEMESTRE/SIMULACIÓN/Job Shop/3d/forklift.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/init.js (255)
[1115/215013.623:INFO:CONSOLE(271)] "load end: file:C:/Users/HP/Documents/8VO SEMESTRE/SIMULACIÓN/Job Shop/3d/forklift.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/init.js (271)
[1115/215013.658:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/libs/ColladaLoader.js (3660)
[1115/215013.668:INFO:CONSOLE(255)] "Loaded: file:C:/Users/HP/Documents/8VO SEMESTRE/SIMULACIÓN/Job Shop/3d/sittingworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/init.js (255)
[1115/215013.668:INFO:CONSOLE(271)] "load end: file:C:/Users/HP/Documents/8VO SEMESTRE/SIMULACIÓN/Job Shop/3d/sittingworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.2.202410172112/static/init.js (271)
[1115/215209.485:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
